source_cui,target_cui
C0035298,C2677299
C0035298,C2711807
C0035298,C2937242
C0035298,C2168266
C0035298,C2168298
C0035298,C2168764
C0035298,C2062402
C0035298,C2174922
C0035298,C2174947
C0035298,C2880805
C0035298,C2880801
C0035298,C2880827
C0035298,C2212920
C0035298,C2212931
C0035298,C2212934
C0035298,C1998028
C0035298,C1856718
C0035298,C1856718
C0035298,C1858080
C0035298,C1859486
C0035298,C1868310
C0035298,C1518271
C0035298,C1827078
C0035298,C1562194
C0035298,C1562210
C0035298,C1635036
C0035298,C1562346
C0035298,C1827297
C0035298,C1562808
C0035298,C1827979
C0035298,C1563142
C0035298,C1563255
C0035298,C1828151
C0035298,C1828151
C0035298,C1828447
C0035298,C1832174
C0035298,C1832174
C0035298,C1833321
C0035298,C1836081
C0035298,C1532019
C0035298,C1533060
C0035298,C1533060
C0035298,C1843816
C0035298,C1850332
C0035298,C1853959
C0035298,C1854065
C0035298,C1302419
C0035298,C1302467
C0035298,C1302543
C0035298,C1302577
C0035298,C1302690
C0035298,C1306122
C0035298,C1402302
C0035298,C1402302
C0035298,C0018425
C0035298,C1405854
C0035298,C1444598
C0035298,C1299640
C0035298,C1321315
C0035298,C1278894
C0035298,C1321726
C0035298,C1281913
C0035298,C1281916
C0035298,C1281937
C0035298,C1281938
C0035298,C1282143
C0035298,C1282145
C0035298,C1282192
C0035298,C1282534
C0035298,C1261279
C0035298,C1287577
C0035298,C0856244
C0035298,C0854723
C0035298,C0748373
C0035298,C0748380
C0035298,C0748386
C0035298,C0853394
C0035298,C0729842
C0035298,C0730275
C0035298,C0730298
C0035298,C0730299
C0035298,C0730301
C0035298,C0730302
C0035298,C0730308
C0035298,C0730321
C0035298,C0730327
C0035298,C0730326
C0035298,C0730330
C0035298,C0730331
C0035298,C0730333
C0035298,C0730332
C0035298,C0730335
C0035298,C0730334
C0035298,C0730366
C0035298,C0730511
C0035298,C0587101
C0035298,C0587102
C0035298,C0520724
C0035298,C0521568
C0035298,C0521567
C0035298,C0521566
C0035298,C0521679
C0035298,C0521682
C0035298,C0521683
C0035298,C0521686
C0035298,C0521691
C0035298,C0521688
C0035298,C0521689
C0035298,C0521692
C0035298,C0521687
C0035298,C0521690
C0035298,C0521693
C0035298,C0521694
C0035298,C0553845
C0035298,C0423374
C0035298,C0423375
C0035298,C0423376
C0035298,C0423377
C0035298,C0423380
C0035298,C0423381
C0035298,C0423410
C0035298,C0423415
C0035298,C0423414
C0035298,C0423417
C0035298,C0423418
C0035298,C0423446
