source,target,edge
Retinal structure,Cerebroretinal microangiopathy with calcifications and cysts,finding site of
Retinal structure,Reactivation of toxoplasmosis chorioretinitis,finding site of
Retinal structure,Parasitic chorioretinitis,finding site of
Retinal structure,epithelioid leiomyosarcoma of retina,finding site of
Retinal structure,leiomyosarcoma of retina,finding site of
Retinal structure,Letterer-Siwe disease of retina,finding site of
Retinal structure,Retinal tear without detachment,finding site of
Retinal structure,flame-shaped hemorrhage of retina of right eye,finding site of
Retinal structure,flame-shaped hemorrhage of retina of left eye,finding site of
Retinal structure,Retinal detachment with multiple breaks,finding site of
Retinal structure,Retinal detachment with single break,finding site of
Retinal structure,Parasitic cyst of retina,finding site of
Retinal structure,myxoid leiomyosarcoma of retina,finding site of
Retinal structure,malignant mastocytosis of retina,finding site of
Retinal structure,malignant hemangiopericytoma of retina,finding site of
Retinal structure,Photoreceptor degeneration,finding site of
Retinal structure,Familial benign flecked retina,finding site of
Retinal structure,Familial benign flecked retina,finding site of
Retinal structure,Severe early childhood onset retinal dystrophy,finding site of
Retinal structure,Bietti's crystalline retinopathy,finding site of
Retinal structure,Pigmented paravenous retinochoroidal atrophy,finding site of
Retina,Neurectoderm,derives from
Retinal structure,Hydrochloroquine retinopathy,finding site of
Retinal structure,Cryptococcal chorioretinitis,finding site of
Retinal structure,Cryptococcal retinitis,finding site of
Retinal structure,Retinal light toxicity,finding site of
Retinal structure,Chorioretinitis with coccidioidmycosis,finding site of
Retinal structure,Herpes zoster acute retinal necrosis,finding site of
Retinal structure,Histo spot,finding site of
Retinal structure,Herpes zoster retinal pigment epithelial detachment,finding site of
Retinal structure,Hamartoma of retina,finding site of
Retinal structure,Rubeola retinopathy,finding site of
Retinal structure,Retinitis sclopetaria,finding site of
Retinal structure,Retinitis sclopetaria,finding site of
Retinal structure,Toxic retinopathy,finding site of
Retinal structure,Dominant drusen,finding site of
Retinal structure,Dominant drusen,finding site of
Retinal structure,Progressive bifocal chorioretinal atrophy,finding site of
Retinal structure,Autosomal dominant rhegmatogenous retinal detachment,finding site of
Retinal structure,Punctate outer retinal toxoplasmosis,finding site of
Retinal structure,Multifocal choroiditis,finding site of
Retinal structure,Multifocal choroiditis,finding site of
Retinal structure,Bothnia retinal dystrophy,finding site of
Retinal structure,Oculotrichodysplasia,finding site of
Retinal structure,Birdshot chorioretinitis,finding site of
Retinal structure,Autosomal dominant late-onset retinal degeneration,finding site of
Retinal structure,Tissue specimen from retina,specimen source topography of
Retinal structure,Specimen from retina obtained by enucleation of eye,specimen source topography of
Retinal structure,Specimen from retina obtained by complete exenteration of eye,specimen source topography of
Retinal structure,Specimen from retina obtained by limited exenteration of eye,specimen source topography of
Retinal structure,Retinal thickening,finding site of
Retinal structure,Oguchi's disease,finding site of
Retinal structure,Lesion of retina,finding site of
Retinal structure,Lesion of retina,finding site of
Retinal structure,Gyrate atrophy,finding site of
Retinal structure,Retinitis punctata albescens,finding site of
Retinal structure,Syphilitic retinitis,finding site of
Retinal structure,Generalized disseminated choroiditis AND chorioretinitis with acute necrosis,finding site of
Retinal structure,Paraneoplastic retinopathy,finding site of
Retinal structure,Entire retina,has entire anatomy structure
Retinal structure,Daltonism,finding site of
Retinal structure,Retinopathy caused by canthaxanthin,finding site of
Retinal structure,Crystals in the retina,finding site of
Retinal structure,Acute toxoplasmosis chorioretinitis,finding site of
Retinal structure,Inactive toxoplasmosis chorioretinitis,finding site of
Retinal structure,Leukemic infiltrate of retina,finding site of
Retinal structure,Chorioretinal tumor,finding site of
Retinal structure,Pseudophakic retinal detachment,finding site of
Retinal structure,Necrotizing herpetic retinopathy,finding site of
Retinal structure,Venous stasis retinopathy,finding site of
Retinal structure,General appearance of retina - finding,finding site of
Retinal structure,Retina-normal,finding site of
Retinal structure,Retinal dystrophy,finding site of
Retinal structure,Necrosis of retina,finding site of
Retinal structure,Herpes zoster retinitis,finding site of
Retinal structure,Toxoplasma retinitis,finding site of
Retinal structure,Malignant melanoma of retina,finding site of
Retinal structure,Serpiginous choroiditis,finding site of
Retinal structure,Macular pseudohole,finding site of
Retinal structure,Acute zonal occult outer retinopathy,finding site of
Retinal structure,Sarcoid chorioretinitis,finding site of
Retinal structure,Idiopathic retinitis,finding site of
Retinal structure,Progressive outer retinal necrosis,finding site of
Retinal structure,Melanoma-associated retinopathy,finding site of
Retinal structure,Punctate inner choroidopathy,finding site of
Retinal structure,Tertiary syphilitic chorioretinitis,finding site of
Retinal structure,Congenital syphilitic choroiditis,finding site of
Retinal structure,Chloroquine retinopathy,finding site of
Retinal structure,Desferrioxamine retinopathy,finding site of
Retinal structure,Tamoxifen retinopathy,finding site of
Retinal structure,Quinine retinopathy,finding site of
Retinal structure,Methanol retinopathy,finding site of
Retinal structure,Thioridazine retinopathy,finding site of
Retinal structure,Rod dystrophy,finding site of
Retinal structure,Macular displacement,finding site of
Retinal structure,Advanced retinal disease,finding site of
Retinal structure,Retinal abnormality - non-diabetes,finding site of
Retinal structure,Retinal cyst,finding site of
Retinal structure,Diffuse retinal dysplasia,finding site of
Retinal structure,Geographic retinal dysplasia,finding site of
Retinal structure,Multifocal retinal dysplasia,finding site of
Retinal structure,Granulomatous chorioretinitis,finding site of
Retinal structure,Granulomatous retinitis,finding site of
Retinal structure,Chorioretinal degeneration,finding site of
Retinal structure,Glaucomatous retinal degeneration,finding site of
Retinal structure,Generalized progressive retinal atrophy,finding site of
Retinal structure,Feline central retinal degeneration,finding site of
Retinal structure,Multifocal retinal degeneration,finding site of
Retinal structure,Central progressive retinal atrophy,finding site of
Retinal structure,Generalized retinal degeneration,finding site of
Retinal structure,Sudden acquired retinal degeneration,finding site of
Retinal structure,Multifocal progressive retinal atrophy,finding site of
Retinal structure,Atrophic retina,finding site of
Retinal structure,Focal juxtapapillary choroiditis,finding site of
Retinal structure,Preretinal and epiretinal finding,finding site of
Retinal structure,Epiretinal snowbanking,finding site of
Retinal structure,Retinal traction,finding site of
Retinal structure,Retina and choroid finding,finding site of
Retinal structure,Infiltration of retina,finding site of
Retinal structure,Cheesy retinitis,finding site of
Retinal structure,Retinal lipid deposits,finding site of
Retinal structure,Punctate retinal deposits,finding site of
Retinal structure,Retinal flecking,finding site of
Retinal structure,Retinal pigment deposits,finding site of
Retinal structure,Retinal pigmentation grouped,finding site of
Retinal structure,Diffuse chorioretinal lesion,finding site of
Retinal structure,Focal chorioretinal lesion,finding site of
Retinal structure,Punched out chorioretinal lesion,finding site of
Retinal structure,Flat chorioretinal lesion,finding site of
Retinal structure,Multiple raised chorioretinal lesions,finding site of
Retinal structure,Solitary raised chorioretinal lesion,finding site of
retina,macula,see from
Retinal structure,Retinal flame hemorrhage,finding site of
Retinal structure,Confluent retinal hemorrhage,finding site of
Retinal structure,Retinal dot hemorrhage,finding site of
Retinal structure,Widespread retinal edema,finding site of
Retinal structure,Rod defect,finding site of
Retinal structure,Mixed rod and cone defect,finding site of
Retinal structure,Cone defect,finding site of
Retinal structure,Renal dysplasia and retinal aplasia,finding site of
Retinal structure,High altitude retinopathy,finding site of
Retinal structure,Retinal round hole,finding site of
Retinal structure,Retinal detachment - subretinal fluid,finding site of
Retinal structure,Retinal operculated tear,finding site of
Retinal structure,Retinal U shaped tear,finding site of
Retinal structure,Retinal linear tear,finding site of
Retinal structure,Multiple retinal breaks,finding site of
Retinal structure,Retinal giant dialysis,finding site of
Retinal structure,Retina finding,finding site of
Retinal structure,Congenital retinal fold,finding site of
Retinal structure,Fundus albipunctatus,finding site of
Retinal structure,Retinocytoma,finding site of
Retinal structure,Injury of retina,finding site of
Retinal structure,Chorioretinal scar,finding site of
Retinal structure,Chorioretinitis,finding site of
Retinal structure,Chorioretinal disorder,finding site of
Retinal structure,Juxtapapillary focal chorioretinitis,finding site of
Retinal structure,Peripheral focal retinochoroiditis,finding site of
Retinal structure,Peripheral focal choroiditis AND chorioretinitis,finding site of
Retinal structure,Metastatic disseminated retinitis,finding site of
Retinal structure,General disseminated chorioretinitis,finding site of
Retinal structure,Bacterial chorioretinitis,finding site of
Retinal structure,Fungal chorioretinitis,finding site of
Retinal structure,Tuberculous chorioretinitis,finding site of
Retinal structure,Rubella retinopathy,finding site of
Retinal structure,Candida retinitis,finding site of
Retinal structure,Onchocerca chorioretinitis,finding site of
Retinal structure,Toxocara chorioretinitis,finding site of
Retinal structure,Disseminated chorioretinal scars,finding site of
Retinal structure,Myopic chorioretinal atrophy,finding site of
Retinal structure,Chorioretinal rupture,finding site of
Retinal structure,Retinal tractional tear,finding site of
Retinal structure,Rhegmatogenous retinal detachment - macula off,finding site of
Retinal structure,Iatrogenic retinal tear,finding site of
Retinal structure,New partial retinal detachment with single defect,finding site of
Retinal structure,Rhegmatogenous retinal detachment - macula on,finding site of
Retinal structure,New partial retinal detachment with retinal dialysis,finding site of
Retinal structure,Combined traction and rhegmatogenous retinal detachment,finding site of
Retinal structure,Proliferative retinopathy,finding site of
Retinal structure,Traction retinal detachment sparing macula,finding site of
Retinal structure,Solid retinal detachment,finding site of
Retinal structure,Giant retinal tear,finding site of
Retinal structure,Lipidemia retinalis,finding site of
Retinal structure,Renal retinopathy,finding site of
Retinal structure,Disorder of retina caused by radiation,finding site of
Retinal structure,Photocoagulation burn to retina,finding site of
Retinal structure,Laser coagulation burn to retina,finding site of
Retinal structure,Cryotherapy burn to retina,finding site of
Retinal structure,Valsalva retinopathy,finding site of
